# Gold-set labels - protocol registered 2026-08-07 (see gold_set.py docstring)
# Labelled via web labeler; unsure -> n with [unsure] note.
sheet	query	letter	label	note
12	37160_2a95674a_23	F	n	
12	37160_2a95674a_23	G	y	
12	37160_2a95674a_23	H	y	
12	37160_2a95674a_23	I	y	
13	100623_9f3a73f2_0	A	n	
13	100623_9f3a73f2_0	B	n	
13	100623_9f3a73f2_0	C	n	
13	100623_9f3a73f2_0	D	n	
13	100623_9f3a73f2_0	E	n	
13	100623_9f3a73f2_0	F	n	
13	100623_9f3a73f2_0	G	n	
13	100623_9f3a73f2_0	H	n	
13	100623_9f3a73f2_0	I	n	
13	100623_9f3a73f2_0	J	n	
14	51357_139c973a_1	A	n	
14	51357_139c973a_1	B	n	
14	51357_139c973a_1	C	y	
14	51357_139c973a_1	D	n	
14	51357_139c973a_1	E	n	
14	51357_139c973a_1	F	n	
14	51357_139c973a_1	G	y	
14	51357_139c973a_1	H	y	
14	51357_139c973a_1	I	n	
14	51357_139c973a_1	J	n	
15	53744_eae4849e_1	A	n	
15	53744_eae4849e_1	B	n	
15	53744_eae4849e_1	C	n	
15	53744_eae4849e_1	D	n	
15	53744_eae4849e_1	E	n	
15	53744_eae4849e_1	F	n	
15	53744_eae4849e_1	G	n	
15	53744_eae4849e_1	H	n	
15	53744_eae4849e_1	I	n	
16	23120_f7c9092f_23	A	n	
16	23120_f7c9092f_23	B	n	
16	23120_f7c9092f_23	C	y	
16	23120_f7c9092f_23	D	n	
16	23120_f7c9092f_23	E	y	
16	23120_f7c9092f_23	F	n	
16	23120_f7c9092f_23	G	n	
16	23120_f7c9092f_23	H	n	
16	23120_f7c9092f_23	I	n	
16	23120_f7c9092f_23	J	y	
17	65554_abc5932b_4	A	n	
17	65554_abc5932b_4	B	y	
17	65554_abc5932b_4	C	n	
17	65554_abc5932b_4	D	n	
17	65554_abc5932b_4	E	n	
17	65554_abc5932b_4	F	n	
17	65554_abc5932b_4	G	n	
17	65554_abc5932b_4	H	n	
17	65554_abc5932b_4	I	n	
17	65554_abc5932b_4	J	n	
18	142999_171240b6_18	A	y	
18	142999_171240b6_18	B	y	
18	142999_171240b6_18	C	y	
18	142999_171240b6_18	D	n	
18	142999_171240b6_18	E	n	
18	142999_171240b6_18	F	y	
18	142999_171240b6_18	G	n	
18	142999_171240b6_18	H	y	
18	142999_171240b6_18	I	n	
18	142999_171240b6_18	J	n	
19	48220_87941c4e_12	A	n	
19	48220_87941c4e_12	B	n	
19	48220_87941c4e_12	C	n	
19	48220_87941c4e_12	D	y	
19	48220_87941c4e_12	E	n	
19	48220_87941c4e_12	F	n	
19	48220_87941c4e_12	G	n	
19	48220_87941c4e_12	H	n	
19	48220_87941c4e_12	I	n	
20	31360_a1accb4b_7	A	y	
20	31360_a1accb4b_7	B	y	
20	31360_a1accb4b_7	C	n	
20	31360_a1accb4b_7	D	n	
20	31360_a1accb4b_7	E	n	
20	31360_a1accb4b_7	F	n	
20	31360_a1accb4b_7	G	y	
20	31360_a1accb4b_7	H	y	
20	31360_a1accb4b_7	I	y	
20	31360_a1accb4b_7	J	n	
21	22768_620b0a0b_0	A	n	
21	22768_620b0a0b_0	B	n	
21	22768_620b0a0b_0	C	n	
21	22768_620b0a0b_0	D	y	
21	22768_620b0a0b_0	E	n	
21	22768_620b0a0b_0	F	n	
21	22768_620b0a0b_0	G	n	
21	22768_620b0a0b_0	H	n	
21	22768_620b0a0b_0	I	n	
21	22768_620b0a0b_0	J	n	
22	24207_fbae256c_1	A	n	
22	24207_fbae256c_1	B	y	
22	24207_fbae256c_1	C	n	
22	24207_fbae256c_1	D	n	
22	24207_fbae256c_1	E	n	
22	24207_fbae256c_1	F	n	
22	24207_fbae256c_1	G	n	
22	24207_fbae256c_1	H	n	
22	24207_fbae256c_1	I	n	
22	24207_fbae256c_1	J	y	
23	26086_bf892d7f_21	A	y	
23	26086_bf892d7f_21	B	n	
23	26086_bf892d7f_21	C	n	
23	26086_bf892d7f_21	D	n	
23	26086_bf892d7f_21	E	y	
23	26086_bf892d7f_21	F	n	
23	26086_bf892d7f_21	G	y	
23	26086_bf892d7f_21	H	n	
23	26086_bf892d7f_21	I	y	
23	26086_bf892d7f_21	J	n	
24	109392_8152f0bf_4	A	n	
24	109392_8152f0bf_4	B	n	
24	109392_8152f0bf_4	C	n	
24	109392_8152f0bf_4	D	n	
24	109392_8152f0bf_4	E	n	
24	109392_8152f0bf_4	F	n	
24	109392_8152f0bf_4	G	n	
24	109392_8152f0bf_4	H	n	
24	109392_8152f0bf_4	I	n	
25	104631_ddc4b27c_0	A	n	
25	104631_ddc4b27c_0	B	n	
25	104631_ddc4b27c_0	C	y	
25	104631_ddc4b27c_0	D	n	
25	104631_ddc4b27c_0	E	y	
25	104631_ddc4b27c_0	F	y	
26	41787_7d41b65c_10	A	n	
26	41787_7d41b65c_10	B	n	
26	41787_7d41b65c_10	C	y	
26	41787_7d41b65c_10	D	n	
26	41787_7d41b65c_10	E	y	
26	41787_7d41b65c_10	F	n	
26	41787_7d41b65c_10	G	n	
26	41787_7d41b65c_10	H	y	
26	41787_7d41b65c_10	I	y	
26	41787_7d41b65c_10	J	y	
27	41115_3ce6b43c_1	A	y	
27	41115_3ce6b43c_1	B	n	
27	41115_3ce6b43c_1	C	n	
27	41115_3ce6b43c_1	D	y	
27	41115_3ce6b43c_1	E	n	
27	41115_3ce6b43c_1	F	n	
27	41115_3ce6b43c_1	G	n	
27	41115_3ce6b43c_1	H	y	
27	41115_3ce6b43c_1	I	n	
28	104740_d3638bbe_0	A	n	
28	104740_d3638bbe_0	B	n	
28	104740_d3638bbe_0	C	n	
28	104740_d3638bbe_0	D	n	
28	104740_d3638bbe_0	E	n	
28	104740_d3638bbe_0	F	y	
28	104740_d3638bbe_0	G	n	
28	104740_d3638bbe_0	H	n	
28	104740_d3638bbe_0	I	y	
28	104740_d3638bbe_0	J	y	
29	132949_ac3b23b9_0	A	y	
29	132949_ac3b23b9_0	B	n	
29	132949_ac3b23b9_0	C	n	
29	132949_ac3b23b9_0	D	n	
29	132949_ac3b23b9_0	E	n	
29	132949_ac3b23b9_0	F	n	
29	132949_ac3b23b9_0	G	n	
29	132949_ac3b23b9_0	H	n	
29	132949_ac3b23b9_0	I	n	
30	22347_d4683c5d_1	A	n	
30	22347_d4683c5d_1	B	y	
30	22347_d4683c5d_1	C	n	
30	22347_d4683c5d_1	D	n	
30	22347_d4683c5d_1	E	n	
30	22347_d4683c5d_1	F	n	
30	22347_d4683c5d_1	G	n	
30	22347_d4683c5d_1	H	y	
30	22347_d4683c5d_1	I	y	
